ListTitle,FieldTitle,FieldInternalName
Action Items,ID,ID
Action Items,Content Type ID,ContentTypeId
Action Items,Content Type,ContentType
Action Items,Title,Title
Action Items,Modified,Modified
Action Items,Created,Created
Action Items,Created By,Author
Action Items,Modified By,Editor
Action Items,Has Copy Destinations,_HasCopyDestinations
Action Items,Copy Source,_CopySource
Action Items,owshiddenversion,owshiddenversion
Action Items,Workflow Version,WorkflowVersion
Action Items,UI Version,_UIVersion
Action Items,Version,_UIVersionString
Action Items,Attachments,Attachments
Action Items,Approval Status,_ModerationStatus
Action Items,Approver Comments,_ModerationComments
Action Items,Edit,Edit
Action Items,Title,LinkTitleNoMenu
Action Items,Title,LinkTitle
Action Items,Title,LinkTitle2
Action Items,Select,SelectTitle
Action Items,Instance ID,InstanceID
Action Items,Order,Order
Action Items,GUID,GUID
Action Items,Workflow Instance ID,WorkflowInstanceID
Action Items,URL Path,FileRef
Action Items,Path,FileDirRef
Action Items,Modified,Last_x0020_Modified
Action Items,Created,Created_x0020_Date
Action Items,Item Type,FSObjType
Action Items,Sort Type,SortBehavior
Action Items,Effective Permissions Mask,PermMask
Action Items,Unique Id,UniqueId
Action Items,Client Id,SyncClientId
Action Items,ProgId,ProgId
Action Items,ScopeId,ScopeId
Action Items,File Type,File_x0020_Type
Action Items,HTML File Type,HTML_x0020_File_x0020_Type
Action Items,Edit Menu Table Start,_EditMenuTableStart
Action Items,Edit Menu Table Start,_EditMenuTableStart2
Action Items,Edit Menu Table End,_EditMenuTableEnd
Action Items,Type,DocIcon
Action Items,Server Relative URL,ServerUrl
Action Items,Encoded Absolute URL,EncodedAbsUrl
Action Items,Property Bag,MetaInfo
Action Items,Level,_Level
Action Items,Is Current Version,_IsCurrentVersion
Action Items,Item Child Count,ItemChildCount
Action Items,Folder Child Count,FolderChildCount
Action Items,Restricted,Restricted
Action Items,Originator Id,OriginatorId
Action Items,NoExecute,NoExecute
Action Items,Content Version,ContentVersion
Action Items,Label setting,_ComplianceFlags
Action Items,Retention label,_ComplianceTag
Action Items,Retention label Applied,_ComplianceTagWrittenTime
Action Items,Label applied by,_ComplianceTagUserId
Action Items,Access Policy,AccessPolicy
Action Items,VirusStatus,_VirusStatus
Action Items,VirusVendorID,_VirusVendorID
Action Items,VirusInfo,_VirusInfo
Action Items,App Created By,AppAuthor
Action Items,App Modified By,AppEditor
Action Items,Total Size,SMTotalSize
Action Items,Last Modified Date,SMLastModifiedDate
Action Items,Total File Stream Size,SMTotalFileStreamSize
Action Items,Total File Count,SMTotalFileCount
Action Items,Compliance Asset Id,ComplianceAssetId
Action Items,Description,eaDescription
Action Items,Alternate ID,eaID
Action Items,Assigned Date,eaAssignedDate
Action Items,Date Identified,eaIdentifiedDate
Action Items,Due Date,eaDueDate
Action Items,Criticality,eaCriticality
Action Items,Owner,eaOwner
Action Items,Responsible Party,eaResponsible
Action Items,Supporting Resources,aiSupportResources
Action Items,Status,eaStatus
Action Items,Notes,eaNotes
Action Items,Parent / Child Relationship,Parent_x0020__x002F__x0020_Child
Action Items,Category,eaTag
Action Items,Project Area,eaProjectArea
Action Items,Pillar,eaPractice
Action Items,Source,eaSource
Action Items,Closed Date,eaClosedDate
Action Items,WF Trigger,eaWFTrigger
Action Items,New Action Item,New_x0020_Action_x0020_Item
Action Items,Module,eaCohort
Action Items,Enterprise Impact,eaEnterprise
Action Items,Resolution Notes,eaResolution
Action Items,Vendor,eaVendor
Action Items,Action Item Overdue,Action_x0020_Item_x0020_Overdue_
Action Items,Closed or Modified Action Item,Closed_x0020_or_x0020_Modified_x0
